Id,Field,Value,BackTrackId,FirstReply,NegativeFeedbackBacktrackId,NegativeFeedbackValue,DataFromBackend
0,"Sorry, I do not understand please reply to the following query!!",,,0,,,0
1,"What is your preferred language, English or Hindi?","English,Hindi",0,1,,,0
2,"So, your preferred language is {language} please confirm, Yes or No?","Yes,No",0,0,1,No,0
3,What's your name?,,,0,,,0
4,"Hi {name}, Please select one of the following for which you want the insurance, Car or Bike","Car,Bike",0,0,,,0
5,What is your vehicle number?,,,0,,,1
6,"Your vehicle number is, {vehicle_number}, please confirm, Yes or No?","Yes,No",0,0,5,No,0
7,Insurance amount to be paid is {amount}.,,,0,,,0
8,What is your Email Address?,,,0,,,0
9,"Your Email Address is, {email}, please confirm, Yes or No?","Yes,No",0,0,7,No,0
10,What is your Phone Number?,,,0,,,0
11,"Your Phone Number is, {phone}, please confirm, Yes or No?","Yes,No",0,0,9,No,0
12,Thank You!! For your valuable feedback have a nice day. Jai Shri Raam,,,0,,,0
